Results of funding round(s)
"APPLE ACRES"....... $3195 (goal was: 50000)
"FISH FARM"......... $30975 (goal was: 65000)
"GRACE GETAWAYS".... $2175 (goal was: 15000)
"CAT CONDOS"........ $3260 (goal was: 10000)
"INDIGO ISLAND"..... $4015 (goal was: 10000)
"BLUE'S BOOKS"...... $370 (goal was: 1000)
"JACKS JUKEBOXES"... $9535 (goal was: 10000)
"DOGGY DAYCARE"..... $9280 (goal was: 8000)
"HOUSES R US"....... $2650 (goal was: 1000)
MATCH PROJECT....... $2985 (goal was: 1000)
"ESCAPEHAUS"........ $2985 (goal was: 500)
